NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_156,257.3378553,0.194533899,0.77818335,0.891472402,532.694017,0.341227304,0.644309782
NSFTV_157,117.6632435,0.107110041,0.900851632,1.026764826,411.4360712,0.291798094,0.708917059
NSFTV_158,147.4128553,0.122783899,0.85618335,1.014260203,460.1174034,0.301873644,0.668835151
NSFTV_159,121.5963181,0.11855928,0.977072777,1.072354209,458.9845017,0.261715229,0.663077081
NSFTV_16,152.8118364,0.141044726,0.905651121,0.963016711,352.4870774,0.331082631,0.931104433
NSFTV_160,165.3628887,0.156439932,0.947981309,1.00422432,342.7907012,0.297038775,0.878149333
NSFTV_161,192.0822155,0.165116637,0.865103655,0.971363703,584.6243052,0.438929184,0.752468121
NSFTV_162,207.8371447,0.169716101,0.79881665,0.924164071,515.7627048,0.355036129,0.696618378
NSFTV_163,242.3881636,0.195455274,0.823348879,0.819633744,460.693009,0.387069994,0.838161153
NSFTV_164,129.2121447,0.107466101,0.85781665,NA,424.097872,0.343468621,0.804705818
NSFTV_165,227.0881636,0.189955274,0.848598879,1.009121365,479.1762155,0.344767573,0.714543667
NSFTV_166,224.4371447,0.207966101,0.92381665,1.065119158,626.2851033,0.400020457,0.643254609
NSFTV_167,161.1371447,0.150466101,0.93131665,1.019234832,495.3332468,0.376820627,0.761823184
NSFTV_168,163.3121447,0.169466101,1.04606665,1.184313725,575.9805691,0.43588889,0.755070558
NSFTV_169,198.2381636,0.193455274,0.985348879,1.243122051,492.0003781,0.370085926,0.757053722
NSFTV_17,218.8910075,0.187882725,0.89003351,NA,593.9948684,0.391493558,0.668152151
NSFTV_171,59.41214469,0.052216101,0.94206665,0.92405965,616.835832,0.431552185,0.702649948
NSFTV_172,100.8371447,0.089216101,0.94006665,1.051514104,608.8680506,0.440422622,0.725174786
NSFTV_173,165.8121447,0.151466101,0.91981665,0.986504212,422.1307798,0.346287839,0.813249714
NSFTV_174,235.1943349,0.192571175,0.837109741,0.950293795,486.7791393,0.349540006,0.721254459
NSFTV_176,212.4830877,0.183197496,0.871324787,1.001298799,614.6765979,0.352316744,0.581044784
NSFTV_177,190.0871447,0.167466101,0.88431665,0.926329358,439.922532,0.345193502,0.791544708
NSFTV_179,180.0743349,0.160171175,0.907109741,0.882945466,387.7638614,0.301980228,0.788490187
NSFTV_18,158.5663079,0.141675166,0.895302326,0.894778003,545.5994634,0.427043536,0.787240706
NSFTV_180,160.7621447,0.171971175,0.828709741,0.946216151,441.7736332,0.350261982,0.808331432
NSFTV_181,240.7112863,0.216611913,0.888751774,1.112754606,433.3966823,0.358209974,0.818344091
NSFTV_182,152.0943349,0.140571175,0.953509741,0.957392977,416.6164028,0.273520543,0.650566189
NSFTV_183,210.6621447,0.175716101,0.84481665,1.018640504,498.6758196,0.321506259,0.648679456
NSFTV_184,217.4512945,0.18840589,0.873375759,0.962844339,433.0261004,0.314663805,0.723229014
NSFTV_185,228.0743349,0.209371175,0.928709741,1.064577949,506.5521973,0.336051875,0.658379949
NSFTV_186,218.4164211,0.197530829,0.915991453,1.027858459,496.3146539,0.424446806,0.875451963
NSFTV_187,385.4743349,0.286371175,0.741909741,0.931081189,437.2954836,0.35972622,0.837834588
NSFTV_188,249.8343349,0.209771175,0.845909741,0.988298934,481.7003397,0.373806993,0.767617893
NSFTV_189,119.7794808,0.115387598,0.995704331,1.042591417,530.8633249,0.377392466,0.721395989
NSFTV_19,168.0868364,0.150794726,0.910651121,0.996173377,471.3466364,0.301733307,0.636783012
NSFTV_190,217.3871447,0.197716101,0.91581665,1.096269349,432.6863744,0.286464686,0.661230857
NSFTV_191,114.1943349,0.099371175,0.888509741,0.948572712,422.7735396,0.300845805,0.707483133
NSFTV_192,149.9871447,0.134466101,0.90931665,0.937284885,395.1723596,0.311772756,0.789929974
NSFTV_193,193.6621447,0.172216101,0.90506665,1.123007797,568.5242931,0.40500006,0.711865795
NSFTV_195,195.6892387,0.176206803,0.909134356,1.008366864,592.1895405,0.370952452,0.628145179
NSFTV_198,143.8143349,0.132371175,0.946509741,1.216050178,476.8953272,0.369388291,0.769245265
NSFTV_199,235.7871447,0.205466101,0.87006665,1.007989102,585.0763801,0.393344716,0.677500355
NSFTV_2,247.5621447,0.163611913,0.87131665,0.982096332,405.6187246,0.289866671,0.701832914
NSFTV_200,166.8143349,0.139771175,0.839909741,0.999219778,494.2205339,0.347437087,0.722494868
NSFTV_201,313.1378553,0.265033899,0.88768335,1.060770915,560.4167834,0.378714332,0.671846608
NSFTV_202,310.4631636,0.248455274,0.798848879,1.030791107,558.8858354,0.369322041,0.660265948
NSFTV_203,129.4128553,0.116033899,0.89193335,NA,560.225257,0.368211335,0.666203162
NSFTV_204,286.2378553,0.250783899,0.88893335,0.810087813,499.4702517,0.323622736,0.658171766
NSFTV_205,204.5128553,0.155783899,0.937460182,1.17365009,538.3369246,0.4149484,0.768692374
NSFTV_206,239.3378553,0.224283899,0.96068335,1.20719108,582.5346943,0.40808901,0.69836906
NSFTV_207,170.0628553,0.155783899,0.92793335,1.096061154,528.8649666,0.427689124,0.80276541
NSFTV_208,292.8128553,0.242533899,0.84468335,1.111804471,576.4421619,0.435951005,0.751073135
NSFTV_209,173.1378553,0.170533899,0.97043335,1.191306084,633.5593751,0.508126759,0.796297735
NSFTV_21,72.83683642,0.058294726,0.854151121,0.821068012,454.8509495,0.362036298,0.799501885
NSFTV_210,256.5378553,0.213533899,0.85018335,NA,484.7716601,0.296255787,0.602061712
NSFTV_211,246.3628887,0.182439932,0.749848879,0.968454121,512.0484616,0.312329806,0.617251385
NSFTV_213,233.8128553,0.190783899,0.84868335,1.102333577,588.3943224,0.445695537,0.755215673
NSFTV_214,256.7878553,0.212533899,0.84668335,0.966945017,520.5020691,0.29690122,0.577341769
NSFTV_215,223.7128553,0.186533899,0.86418335,0.991887997,556.9575158,0.341217663,0.609596366
NSFTV_216,221.3628553,0.193533899,0.88668335,1.088868379,485.7683632,0.308400011,0.646493415
NSFTV_217,232.3128553,0.193283899,0.85368335,1.105291302,397.6289577,0.342617386,0.871446805
NSFTV_218,278.2378553,0.239283899,0.88218335,1.040473205,580.3853019,0.396368372,0.718277055
NSFTV_219,257.8878553,0.226533899,0.91543335,1.090208954,419.1489146,0.361705087,0.863257116
NSFTV_22,225.1442087,0.213716746,0.949531067,1.068590376,619.2128569,0.411457801,0.670785359
NSFTV_220,211.4628553,0.180033899,0.85918335,0.906631054,429.8613865,0.277572346,0.656054329
NSFTV_221,235.0378553,0.199533899,0.86293335,0.925124602,349.0037753,0.271661273,0.804592478
NSFTV_222,208.8378553,0.172283899,0.83868335,1.005525993,542.9615044,0.467938641,0.858561212
NSFTV_223,219.4878553,0.180283899,0.84068335,1.017220687,539.4360433,0.371284245,0.68127589
NSFTV_224,272.7381636,0.242455274,0.898848879,1.067855889,433.1728133,0.359167053,0.82324138
NSFTV_225,261.0878553,0.222783899,0.87718335,1.084191837,454.9184866,0.191073083,0.430840862
NSFTV_226,316.3128553,0.282783899,0.90068335,1.095230348,546.0989134,0.368353667,0.676949821
NSFTV_227,219.6378553,0.228033899,1.03943335,1.113091423,441.3283116,0.305298835,0.678061104
NSFTV_228,154.7628553,0.155033899,0.99893335,1.142132153,673.1179599,0.334531329,0.495042441
NSFTV_229,206.9378553,0.175283899,0.85268335,0.944259147,491.2235914,0.329413033,0.670715723
NSFTV_23,340.8118364,0.294794726,0.857151121,1.085910295,541.2325995,0.311702315,0.580342807
NSFTV_231,177.4128553,0.162533899,0.91018335,1.019623525,630.7233173,0.326155133,0.515016548
NSFTV_232,265.3630836,0.236300507,0.900846127,0.987300655,629.3641932,0.409147135,0.661256662
NSFTV_233,206.9140452,0.163903064,0.786151121,0.918973265,407.6345074,0.230367723,0.562726676
