"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C079" 70.861 24.0966 -0.1594 0.4266 48.8875 -0.1591 2.4985 0.1716 0.017 1.808
"C080" 82.247 26.1041 6.3992 15.0835 53.2451 3.0592 2.6212 0.1103 0.0087 1.8394
"C081" 69.1359 23.0223 -1.6779 -2.8727 47.1699 -0.9363 2.5522 0.1947 0.0432 1.8412
"C082" 77.0993 25.5886 3.2332 5.3419 51.8356 1.7466 2.4183 -0.1236 -0.0205 1.8177
"C083" 77.4537 23.7234 0.3977 2.2379 49.4197 -0.0038 2.4938 0.0181 -0.0344 1.8028
"C085" 85.8254 27.4893 7.2799 12.9974 55.7757 3.9055 2.5589 0.0208 -0.0168 1.8168
"C086" 79.658 25.366 1.5477 4.664 51.8828 0.7338 2.729 0.0825 0.0019 1.8483
"C087" 79.9149 25.3553 3.5802 8.8205 51.9253 1.7367 2.6142 0.059 -0.0135 1.8225
"C088" 79.9642 24.2893 3.9748 9.2344 50.5384 1.8596 2.4957 -0.107 -0.0175 1.83
"C089" 91.9158 28.5634 7.8484 17.0846 58.0826 3.9857 2.5538 -0.0526 -0.0155 1.822
"C090" 85.9146 27.1663 4.9385 10.2042 55.266 2.5874 2.4673 -0.0845 -0.0207 1.803
"C092" 82.8201 27.2397 5.1199 9.1454 54.9399 2.8528 2.4355 -0.0793 -0.0306 1.8042
"C093" 72.959 25.1931 3.2244 2.3606 50.7289 2.096 2.4711 -0.0068 -0.0122 1.8126
"C094" 80.7379 25.3246 2.0305 4.6898 52.0085 1.0031 2.5947 0.134 -5e-04 1.809
"C095" 82.8873 25.1577 2.4652 9.9148 52.0709 0.8533 2.4456 -0.1123 -0.0126 1.8117
"C096" 79.0285 24.4672 0.6671 5.2072 50.6213 -0.0016 2.5117 -0.0528 -0.0257 1.8064
"C097" 76.8563 25.6194 3.3341 4.8884 51.8558 1.9585 2.4805 0.0978 -0.0023 1.7991
"C098" 84.2255 26.7525 8.1869 15.5286 54.5076 4.3022 2.6873 0.1207 -0.0032 1.8378
"C099" 79.8174 26.4934 4.6341 8.1516 53.4799 2.5909 2.5324 0.0546 -0.0097 1.8088
"C101" 72.5781 25.6577 -1.1005 -3.4929 51.3668 -0.4303 2.4452 -0.0692 -0.0165 1.8106
"C102" 80.268 26.2001 1.1878 2.6636 53.1299 0.7067 2.6127 0.0426 -0.012 1.8254
"C103" 73.1319 26.5912 -2.7757 -4.7133 52.8481 -1.4657 2.5928 0.0453 -0.0061 1.8049
"C104" 69.9137 26.2343 -1.8663 -7.2661 51.9736 -0.7062 2.5725 0.0305 0.0066 1.8278
"C105" 75.0384 27.6311 -1.0073 -4.3074 54.6718 -0.3578 2.6717 0.0213 0.0012 1.8353
"C107" 81.6702 28.5992 1.5388 1.2704 56.8609 0.921 2.6606 0.1959 0.0199 1.8171
"C108" 79.5097 27.7166 0.3354 2.1855 55.2852 0.0555 2.5709 0.0092 -0.0063 1.8056
"C109" 72.835 26.0265 -3.3268 -5.3379 51.9715 -1.7989 2.5552 -0.0132 -0.0156 1.804
"C110" 79.43 27.4357 3.1646 6.3813 54.8294 1.6287 2.6873 0.1167 0.0127 1.8414
"C111" 67.4536 25.2324 -4.0527 -8.5639 50.1372 -2.0269 2.4733 -0.0084 0.0151 1.8213
"C112" 62.3507 22.1286 -8.7793 -15.5432 44.8875 -4.592 2.609 0.1918 0.0324 1.8283
"C113" 61.0381 20.9408 -8.5596 -13.8548 43.0096 -4.5857 2.6722 0.371 0.0641 1.8511
"C114" 75.6529 28.0656 3.4463 1.6439 55.3946 2.1624 2.2891 -0.1864 -0.0525 1.7568
"C115" 83.1414 28.4541 4.8253 7.5976 56.8003 2.7278 2.5183 0.0103 -0.0206 1.7885
"C116" 72.2422 25.7279 0.6448 0.2822 51.4497 0.4329 2.4832 -0.0046 -0.0115 1.8014
"C117" 73.7619 26.3209 2.2233 0.2684 52.5031 1.6207 2.3968 -0.1468 -0.0366 1.7867
"C118" 85.4533 28.2757 4.646 12.3845 56.8235 2.1282 2.4215 -0.0939 -0.0248 1.7823
"C119" 81.5747 26.5059 1.5447 5.3806 53.7426 0.6863 2.5947 0.1414 -0.0058 1.8027
"C120" 75.4739 27.7485 0.994 0.4018 54.9098 0.6071 2.4614 -0.1224 -0.0262 1.7849
"C121" 77.269 27.5851 0.8189 1.3178 54.828 0.4426 2.4272 -0.102 -0.0173 1.7799
"C123" 73.5512 27.4771 0.7917 -0.3643 54.2934 0.5266 2.5019 0.0097 -0.0142 1.7942
"C124" 75.0854 26.674 -0.4696 -1.2035 53.19 -0.2112 2.5046 0.0664 0.0053 1.7884
"C125" 62.7107 24.0937 -5.755 -11.3513 47.8809 -2.9387 2.3715 -0.1703 -0.022 1.7836
"C126" 76.1714 27.2496 4.1878 7.2337 54.1902 2.2358 2.5321 -0.012 0.0032 1.8178
"C127" 72.4946 25.3836 -2.8787 -4.704 50.9947 -1.5494 2.1828 -0.1096 -0.0098 1.7647
"C128" 65.1909 24.6326 -1.1987 -8.1527 48.9657 -0.1541 2.4061 -0.0639 -0.0241 1.7954
"C129" 74.5553 24.6854 1.1645 3.2607 50.1855 0.5069 2.5173 0.035 -0.0042 1.8189
"C130" 70.2063 25.3191 -1.6524 -4.3631 50.5804 -0.7603 2.5813 -0.037 0.0067 1.8369
"C131" 81.5212 28.2497 6.0526 10.8514 56.2954 3.1839 2.6079 0.0808 -0.0203 1.7996
"C132" 84.2946 27.0259 4.0428 9.0282 54.8808 1.9564 2.5344 0.0765 -0.0033 1.8097
"C133" 80.0013 28.01 3.6362 5.5946 55.7681 1.9851 2.5821 0.0038 -0.0099 1.8114
"C134" 71.8117 26.0513 -0.3523 -3.4742 51.8729 0.0252 2.5832 0.0595 0.0256 1.833
"C136" 85.6038 29.7632 7.363 12.3537 59.0808 3.9292 2.5135 0.0268 -0.0208 1.7978
"C137" 80.2706 28.2554 6.7744 10.0968 56.1765 3.7111 2.5863 0.1365 -0.0152 1.7933
"C138" 82.7474 28.0418 4.2278 7.1239 56.1036 2.2731 2.5854 0.1528 8e-04 1.794
"C139" 75.0238 26.95 5.396 6.7515 53.6145 3.0526 2.6472 0.1087 0.0039 1.8287
"C140" 69.7174 25.8685 0.6316 -1.5238 51.3752 0.5188 2.5344 0.0847 0.0209 1.8232
"C141" 78.9409 26.6636 1.5426 2.4076 53.6322 0.8471 2.4038 0.117 2e-04 1.7849
"C142" 69.5963 25.1485 0.2761 -3.27 50.2511 0.4541 2.5117 -0.0579 -0.0154 1.8169
"C143" 78.5058 26.8242 1.0833 1.5486 53.8423 0.6015 2.4889 -0.0671 -0.0058 1.8281
"C144" 75.676 27.7959 3.0171 0.1664 55.0208 1.9608 2.4687 -0.1097 -0.0114 1.821
"C146" 72.7924 24.273 -1.4968 -0.6682 49.3635 -0.954 2.8074 0.2168 0.0254 1.8614
"C147" 77.3231 28.2559 1.8689 2.0883 55.8856 1.0601 2.5041 -0.1197 -0.0036 1.8163
"C148" 75.9211 27.7757 2.9006 3.0853 54.9827 1.6615 2.566 -0.0695 -0.0131 1.8196
"C149" 84.4416 27.8225 3.326 7.0092 56.0032 1.7046 2.4415 -0.1248 -0.003 1.8228
"C151" 81.379 28.8584 3.67 5.963 57.227 1.976 2.4854 -0.1097 -0.0115 1.8199
"C152" 86.6638 27.9332 2.7804 8.8743 56.4954 1.1161 2.5902 0.0492 0.0262 1.8324
"C153" 62.9467 23.1315 -6.911 -11.7672 46.4317 -3.6684 2.7746 0.1365 0.0333 1.8542
"C154" 85.38 30.1407 9.5885 14.9417 59.6463 5.1949 2.7957 0.1488 0.0098 1.8474
