"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C296" 74.4735 25.2057 -1.3825 -4.0129 50.9376 -0.6015 2.484 0.1034 0.0083 1.7973
"C297" 79.6654 26.7258 1.9237 0.9167 53.8198 1.2849 2.4883 0.1179 0.0111 1.8057
"C298" 88.6165 29.1172 4.7464 10.1106 58.4537 2.3534 2.5528 0.1064 0.0076 1.791
"C300" 84.9699 29.2864 5.1121 8.4998 58.312 2.7146 2.4341 0.0248 -0.0195 1.775
"C301" 77.0878 27.3872 3.6146 3.6939 54.4989 2.1052 2.4233 0.0509 -0.0108 1.7737
"C302" 75.9965 25.609 -2.139 -2.9594 51.7066 -1.2014 2.3348 -0.0683 -0.0156 1.7657
"C303" 90.2902 28.7295 5.1102 14.5223 58.0958 2.2402 2.5443 0.0919 0.0176 1.8016
"C304" 79.1905 27.9941 3.4388 4.7293 55.6645 1.9067 2.3354 -0.0369 -0.0164 1.7618
"C305" 76.9194 26.2812 3.2254 3.5828 52.8305 1.9265 2.1636 -0.0281 -0.0079 1.7512
"C306" 78.1013 27.3715 3.1436 2.015 54.6008 1.9393 2.374 -0.1182 -0.0182 1.7901
"C307" 69.5134 26.0987 -0.2845 -5.4223 51.7451 0.2038 2.4053 -0.062 -0.0093 1.8023
"C308" 76.7982 27.5097 3.4034 3.3101 54.6777 2.0024 2.5593 0.0695 -0.0164 1.7938
"C309" 85.1873 26.5819 3.0708 10.1644 54.3717 1.2514 2.5826 0.0603 -0.0081 1.8019
"C310" 68.0546 25.5636 -2.5386 -5.1588 50.7487 -1.3044 2.4286 -0.1067 -0.0068 1.791
"C311" 72.838 26.4905 1.1552 0.2901 52.6586 0.739 2.4589 -0.0708 -0.0097 1.7983
"C312" 72.0898 24.8128 0.5536 1.6402 50.1248 0.2154 2.4714 -0.1229 0.0085 1.8305
"C313" 65.241 24.6547 -2.514 -10.4321 49.0098 -0.769 2.4258 -0.0418 -0.0186 1.7908
"C314" 75.4279 27.3713 1.054 0.8768 54.2957 0.6258 2.5104 -0.0876 -0.0254 1.7867
"C316" 68.0296 23.9115 -2.2925 -2.2887 48.2195 -1.3533 2.5145 0.0449 0.0041 1.8034
"C317" 72.8379 24.2079 -4.1967 -3.0423 49.2766 -2.5852 2.5331 0.0329 0.002 1.798
"C318" 72.5855 24.6289 -3.1156 -0.9555 49.8462 -2.0076 2.4892 -0.0669 -0.0046 1.8019
"C319" 72.6474 24.4404 -3.619 -4.0303 49.5804 -2.0967 2.3188 0.0122 0.0083 1.7837
"C320" 55.4204 21.189 -8.4839 -17.5904 42.601 -4.226 2.3581 -0.2313 -0.0047 1.8183
"C321" 69.8666 24.0103 -3.051 -6.005 48.5984 -1.4845 2.6132 0.0843 0.0103 1.8281
"C322" 72.6936 23.6873 -1.9007 0.4058 48.5788 -1.3762 2.5415 0.0329 -0.0122 1.8095
"C323" 79.7343 25.9782 0.8742 6.3377 52.7262 0.0622 2.3973 -0.1391 -0.0322 1.7836
"C324" 72.6855 25.8114 -2.0541 -2.877 51.6372 -1.1529 2.6094 -0.0353 0.0021 1.8308
"C326" 72.6382 23.1339 -2.1317 1.3399 47.7881 -1.6278 2.6704 0.0695 0.0157 1.8454
"C327" 74.8622 26.7336 -0.3378 -0.5376 53.2526 -0.1763 2.5889 -0.0157 -0.0042 1.8156
"C328" 69.4716 25.6489 -2.6862 -6.8074 50.9974 -1.2621 2.7834 0.2333 0.0331 1.839
"C329" 73.372 25.4174 -2.7296 -3.3569 51.0923 -1.5401 2.5245 0.0177 0.0059 1.8097
"C330" 77.3479 26.3778 -0.3062 0.7312 53.028 -0.2759 2.4786 0.0196 -0.0021 1.7897
"C331" 74.9203 25.0755 1.151 5.6549 50.8279 0.2931 2.685 0.12 0.0192 1.8425
"C332" 76.0317 26.3175 0.552 3.7973 52.754 0.0828 2.4496 -0.0264 -0.0208 1.78
"C333" 74.3957 23.9186 -4.4271 -3.1307 49.1209 -2.7829 2.4064 0.0932 0.006 1.7892
"C335" 87.4037 28.9562 7.812 13.3854 58.029 4.2692 2.4889 0.1417 -0.0084 1.7787
"C336" 76.0773 26.3567 -1.0126 -0.2424 52.8532 -0.6609 2.5399 0.1532 0.0118 1.8008
"C337" 82.5894 28.4703 4.5496 10.3806 56.753 2.2457 2.386 0.0259 -0.0111 1.7638
"C338" 78.2612 27.3842 4.2126 6.7179 54.6321 2.2761 2.4121 0.0575 -0.0234 1.7617
"C339" 76.3081 26.3784 0.63 2.5988 52.8887 0.2219 2.5621 0.0991 0.0028 1.8008
"C340" 73.5269 26.0338 1.6403 -1.1416 52.0801 1.2535 2.4486 0.1562 -0.0166 1.7699
"C341" 76.4652 27.0702 1.6977 2.0395 53.9488 0.967 2.5459 0.1776 0.0339 1.8092
"C342" 79.2768 27.6163 3.3214 6.8869 55.065 1.7051 2.2785 -0.0528 -0.0351 1.7513
"C343" 72.5706 25.3919 -1.4142 -2.305 50.9752 -0.7578 2.2224 -0.1027 -0.016 1.7571
"C344" 81.7304 27.1617 2.8102 6.967 54.7118 1.3158 2.1913 -0.086 -0.016 1.7451
"C345" 77.9828 25.9051 0.858 6.295 52.3873 0.0764 2.3159 -0.0584 -0.0142 1.7616
"C346" 83.395 28.5564 5.0938 10.8586 56.9717 2.5633 2.5626 0.1816 0.008 1.7917
"C347" 81.7903 28.7105 8.7548 14.3782 56.9992 4.7359 2.2877 -0.0955 -0.0388 1.7538
"C348" 79.8475 28.5078 5.7447 9.4665 56.5142 3.081 2.2412 -0.0532 -0.0163 1.7538
"C349" 83.2598 27.9907 8.0812 12.5126 56.0972 4.5144 2.7547 0.2236 0.0089 1.8356
"C350" 81.0835 26.1774 6.9745 14.9095 53.2607 3.4341 2.8373 0.2342 0.0233 1.8621
"C351" 76.1595 26.9999 5.5577 4.7621 53.7966 3.4303 2.6318 0.1554 0.0087 1.8349
"C352" 73.8341 26.0978 2.1207 2.6794 52.1707 1.2053 2.5353 -0.0169 -0.0176 1.7973
"C353" 76.2816 26.5799 3.8218 7.1627 53.3645 1.8794 2.5848 0.0695 0.0067 1.8328
"C354" 78.4496 25.8182 2.1587 6.845 52.3471 0.8792 2.4238 -0.0852 -0.024 1.7888
"C355" 81.9089 27.919 6.1442 10.4166 55.8449 3.2838 2.3995 -0.0617 -0.025 1.7757
"C356" 75.2614 26.0688 2.9605 6.8447 52.2888 1.4508 2.3346 -0.2237 -0.0493 1.7662
"C357" 69.1536 25.203 1.7128 2.0436 50.2813 0.9869 2.3653 -0.1129 -0.0211 1.7886
"C358" 81.0582 26.4748 3.6968 8.6561 53.6113 1.7918 2.4854 0.17 0.0361 1.8283
"C359" 71.8801 25.6038 3.1683 2.8937 51.2136 1.9263 2.2894 -0.1244 -0.0342 1.7653
"C360" 74.9379 25.7322 5.8253 8.9525 51.7731 3.2488 2.2223 -0.0755 -0.0376 1.753
"C361" 79.2541 28.3829 8.4654 10.519 56.2653 4.822 2.3939 -0.2043 -0.0577 1.7821
"C362" 82.9178 28.188 5.0996 9.2889 56.3694 2.6949 2.5009 0.1136 -0.0136 1.7923
"C363" 78.4124 27.6262 4.4983 6.231 55.0128 2.5208 2.5094 0.0997 -0.0121 1.7924
"C364" 74.0149 25.1861 1.4951 3.8825 50.8661 0.6889 2.5478 0.1258 0.007 1.8152
"C365" 81.0994 28.9707 4.8448 9.1928 57.3723 2.5046 2.5005 0.0453 -0.0151 1.777
"C366" 75.156 27.359 1.7005 1.7489 54.2834 0.9609 2.5728 0.0148 0.0063 1.8215
"C367" 76.5291 27.2172 3.5814 7.0216 54.1742 1.8327 2.5489 0.0821 -1e-04 1.8047
"C368" 84.9725 28.5666 6.0166 10.8684 57.2046 3.1785 2.5885 0.1909 0.0036 1.8016
"C370" 76.3633 27.303 1.5812 1.7898 54.2947 0.9117 2.3248 -0.0953 -0.0261 1.7642
"C371" 82.879 27.9892 4.254 11.4933 56.1074 1.9189 2.5716 0.1022 -0.0024 1.7906
"C372" 78.8052 27.9901 3.173 3.4342 55.6125 1.8549 2.4516 0.225 0.0226 1.7923
"C373" 76.8474 27.6728 4.3398 4.8921 54.9103 2.5431 2.3792 0.0543 -0.0035 1.7735
"C374" 79.43 27.5869 6.5714 10.4757 55.0443 3.6512 2.1635 -0.0453 -0.0103 1.7579
"C376" 83.3643 27.4675 4.6618 7.9399 55.3787 2.5034 2.0066 -0.2525 -0.0492 1.7414
"C377" 83.5694 25.3449 2.218 6.6116 52.4098 0.9756 2.4577 0.1427 0.0055 1.8064
"C378" 70.4061 26.2309 -3.4967 -10.9035 52.0392 -1.4951 2.4283 0.1094 0.02 1.8086
"C379" 94.6311 31.0013 8.0323 15.9319 61.9611 4.1364 2.5062 0.111 0.0198 1.8174
"C380" 79.9224 27.6995 3.3472 5.1228 55.286 1.8482 2.4452 0.1412 0.0087 1.7959
"C381" 79.6477 24.8561 1.0214 5.2126 51.1787 0.1937 2.4598 0.1084 0.0272 1.8259
"C382" 80.4149 27.9221 3.5615 0.7565 55.6714 2.4334 2.3994 0.1747 -0.0029 1.7832
"C383" 87.0286 28.7546 3.8971 8.4922 57.725 1.9442 2.5266 0.1714 0.0236 1.8124
"C385" 81.2311 27.9599 4.7332 6.9275 55.8313 2.6301 2.4245 0.1979 -0.0074 1.7686
"C386" 79.4193 24.3627 -3.5632 -0.4463 50.4963 -2.4954 2.4393 0.182 0.0165 1.7892
"C387" 71.5104 24.9618 -3.3604 -8.2429 50.2113 -1.5924 2.2521 0.0426 0.002 1.7626
"C388" 77.5187 26.8453 1.6142 1.8456 53.7296 0.9517 2.2571 0.1256 0.0132 1.7658
"C390" 77.5301 28.3181 6.0015 3.4725 55.9928 3.7513 2.5879 0.2426 0.0325 1.8268
"C391" 77.8605 24.6349 2.2983 4.3184 50.6209 1.271 2.446 0.0327 0.0141 1.8224
"C392" 69.874 25.5053 -1.1865 -3.909 50.8178 -0.4222 2.5293 0.1386 0.0373 1.8192
"C393" 70.4221 26.3256 1.9463 -2.6955 52.1667 1.5146 2.6077 0.2225 0.0449 1.837
"C394" 71.6888 25.9736 -0.3354 -3.5947 51.7243 0.1141 2.8676 0.3741 0.0527 1.8577
"C395" 80.8638 24.13 2.1659 9.8445 50.454 0.4731 2.6592 0.2094 0.0447 1.8508
"C396" 77.0982 25.4378 1.347 0.8555 51.5879 0.9546 2.722 0.399 0.0587 1.8522
"C397" 84.3121 28.5315 5.0761 9.1913 57.0348 2.7265 2.6322 0.1787 0.0375 1.8336
"C398" 81.2994 25.8363 1.0086 5.2995 53.0606 0.0301 2.6278 0.2289 0.072 1.8543
"C401" 67.5559 22.9897 -5.3951 -8.894 46.7952 -2.8629 2.3321 -0.0235 0.0046 1.7847
"C402" 83.6182 28.588 5.3346 7.2806 57.0372 3.0392 2.2852 -0.0226 -0.016 1.7521
"C403" 71.9749 23.1685 -3.5948 -1.2871 47.7354 -2.3631 2.4832 0.0783 0.0335 1.8163
"C404" 69.3618 25.014 -1.6332 -4.7489 50.0457 -0.682 2.7519 0.3403 0.0539 1.8445
"C405" 73.1407 25.1179 0.3902 0.8833 50.6365 0.2297 2.2128 -0.017 0.0051 1.765
"C406" 80.8792 26.5903 1.8953 3.6318 53.8117 0.9938 2.4786 0.3165 0.064 1.8235
"C407" 79.376 26.6266 5.7385 8.3194 53.6323 3.2539 2.4894 0.2602 0.0243 1.8096
"C408" 81.3257 24.8479 3.4916 8.7342 51.4119 1.652 2.5072 0.2455 0.0378 1.8229
"C409" 72.8015 23.1972 1.2089 3.7937 47.9592 0.4327 2.6316 0.3902 0.0615 1.8505
"C410" 75.2566 22.5704 1.2868 4.7154 47.512 0.4006 2.3781 0.0809 0.0278 1.8272
"C411" 74.1341 25.7594 1.8085 3.3521 51.7153 1.026 2.4512 0.1766 0.05 1.8229
"C412" 86.5842 28.606 9.3095 16.4676 57.4324 4.989 2.5186 0.2495 0.0385 1.8216
"C413" 84.206 27.2036 5.195 11.9234 55.1571 2.5383 2.8538 0.4763 0.0538 1.8499
"C414" 79.9629 23.5121 0.9221 6.9834 49.4894 -0.1434 2.4847 0.2676 0.0311 1.81
"C415" 78.823 23.8785 3.5352 10.8047 49.7259 1.4157 2.6427 0.309 0.0484 1.8455
"C417" 76.5612 24.9685 1.6505 6.3002 50.8833 0.631 2.3987 0.1098 0.0165 1.7904
"C418" 85.0765 25.7824 3.6678 13.9668 53.2491 1.2805 2.5068 0.2113 0.0451 1.8267
"C419" 76.2401 24.2925 1.7967 6.9836 49.9455 0.5984 2.1423 0.0286 0.0107 1.7617
"C420" 72.1376 23.6616 0.4492 1.307 48.399 0.2645 2.2589 0.1145 0.016 1.7739
"C421" 72.022 24.0263 1.1839 1.4426 48.8882 0.7459 2.3506 0.0218 -0.0049 1.7933
"C422" 77.012 25.5643 1.2746 1.7579 51.7757 0.7264 2.3771 -0.1301 -0.0334 1.8026
"C423" 82.4118 26.4923 5.7409 9.1209 53.8182 3.245 2.419 -0.1787 -0.0524 1.7962
"C424" 66.8063 25.2367 -3.333 -10.8363 50.0883 -1.3673 2.5455 -0.0561 -0.0253 1.8109
"C425" 75.2322 26.5642 1.3056 1.7005 53.0645 0.7533 2.3324 -0.2427 -0.0414 1.7808
"C426" 75.1023 26.3744 0.9206 0.0701 52.7348 0.6315 2.5188 -0.1591 -0.019 1.8262
"C427" 77.751 25.1301 0.8504 2.0217 51.2698 0.3972 2.3211 -0.1965 -0.0367 1.7913
"C428" 77.9351 25.6955 4.0363 7.167 52.0791 2.1552 2.6864 0.0522 0.0047 1.851
"C429" 74.8334 24.984 0.6647 -1.1581 50.6601 0.6173 2.4639 -0.0436 -0.0176 1.8161
"C430" 64.2141 24.2044 -3.7417 -11.9845 48.2032 -1.5316 2.4272 -0.1129 -0.0132 1.8071
"C431" 70.5822 25.5048 -0.4596 -3.2772 50.9738 -0.0747 2.5492 -0.0467 -0.0148 1.8161
"C432" 83.2293 28.1167 6.2769 11.2231 56.2778 3.3451 2.346 -0.0682 -0.0275 1.7727
"C433" 81.93 28.2029 5.9411 10.2259 56.2662 3.1898 2.4574 -0.0519 -0.0193 1.798
"C434" 75.4558 23.9182 -2.3528 -1.5403 49.3181 -1.5618 2.2045 -0.142 -0.0257 1.774
"C435" 75.321 24.8152 0.7916 1.7406 50.5934 0.3406 1.9215 -0.5233 -0.072 1.7351
